model,feature_set,split,MAE,RMSE
<<<<<<< HEAD
MLP,F1,test,56.08422609365114,81.41352394489458
=======
RandomForest,F1,test,55.95715188281323,82.04002515470347
>>>>>>> 1914c2dd4cad679f031794efb9ef4d9b9ba61dc2
