model,feature_set,split,MAE,RMSE,training_time_seconds
Linear Regression,F0,validation,155.2933130225775,189.7724654761461,0.016761064529418945
Linear Regression,F1,validation,137.54999634001015,174.1322762148054,0.0074462890625
