model,feature_set,split,MAE,RMSE,training_time_seconds
Ridge,F0,validation,155.32976607291758,189.7169481940166,0.007239103317260742
Ridge,F1,validation,137.53867342362403,174.09953616037532,0.0018024444580078125
Random Forest,F0,validation,47.847301112389715,73.68824791314964,4.800671339035034
Random Forest,F1,validation,51.35973846055491,77.61867883302078,5.702948093414307
Gradient Boosting,F0,validation,74.54341552910975,102.84686178747059,0.9771604537963867
Gradient Boosting,F1,validation,72.71262110859594,98.04202687687972,1.2333910465240479
MLP,F0,validation,98.19452874229995,139.66979415920227,67.86882710456848
MLP,F1,validation,68.79429666544283,95.99008393122836,134.89824438095093
