model,feature_set,split,MAE,RMSE,training_time_seconds
Ridge,F0,validation,155.3297660729175,189.71694819401657,0.0014973341021686792
Ridge,F1,validation,137.53867342362395,174.09953616037527,0.0013021251652389765
RandomForestRegressor,F0,validation,47.57780797121303,73.52082306792029,8.338384000118822
RandomForestRegressor,F1,validation,47.95637164593494,73.73286301931934,10.484267208026722
GradientBoostingRegressor,F0,validation,77.16676304023655,103.85960888996969,1.4881152499001473
GradientBoostingRegressor,F1,validation,74.89035590885038,98.3330316986274,2.0213132090866566
MLPRegressor,F0,validation,94.4643186700714,136.63042083383996,8.009104583179578
MLPRegressor,F1,validation,52.24776396160089,76.57467523050896,5.587635332951322
