model,feature_set,split,params,MAE,RMSE,training_time_seconds
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",50.18140376754447,73.40911423727768,7.7607594998553395
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",50.36730911174056,73.51054988038106,3.895592875080183
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",51.03774995158354,75.23485016307852,7.80405666702427
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",51.529988979259585,75.8209151578819,3.9676049170084298
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",52.24776396160089,76.57467523050896,5.180852666962892
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",54.35763043632739,78.6763010867258,4.132455833023414
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",54.551213098169015,75.58056016580441,2.9157565829809755
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",56.10355991847613,76.7061910282359,4.3557326251175255
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",56.888412426832424,79.04532606422511,4.197378166951239
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",58.3091482466666,80.92039607176784,2.259277499979362
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",59.85528824089312,89.03950454431867,1.5397127501200885
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",60.23121380637632,93.6319627745622,3.140835375059396
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",61.01975032543912,89.74896621726108,2.1946756669785827
GradientBoostingRegressor,F1,validation,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",63.130097424147465,84.09465473935795,3.9273219590540975
GradientBoostingRegressor,F0,validation,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",63.59799995578836,86.7962853261864,3.0622109579853714
