model,feature_set,split,MAE,RMSE,training_time_seconds
Ridge,F0,validation,155.32976607291758,189.7169481940166,0.011476278305053711
Ridge,F1,validation,137.53867342362403,174.09953616037532,0.007433176040649414
RandomForest,F0,validation,47.847301112389715,73.68824791314964,5.166432857513428
RandomForest,F1,validation,51.35973846055491,77.61867883302078,6.354334354400635
GradientBoosting,F0,validation,74.5690516970597,102.85470700387316,1.140181303024292
GradientBoosting,F1,validation,72.74501305179476,98.05053815087199,1.4120378494262695
MLP,F0,validation,98.20769501128966,139.67122239071077,109.59037184715271
MLP,F1,validation,68.83869136926485,95.99598823299802,160.2155303955078
