model,feature_set,split,MAE,RMSE,training_time_seconds
GradientBoostingRegressor,F0,validation,58.3091482466666,80.92039607176784,2.273498584050685
GradientBoostingRegressor,F1,validation,53.049024716717696,74.18767801790366,3.855969165917486
MLPRegressor,F0,validation,67.34819979035947,94.92812270560613,4.0259763749782
MLPRegressor,F1,validation,56.597575762127946,83.18374505977667,1.9711998749990016
RandomForestRegressor,F0,validation,45.301112517508486,68.55155229121647,7.867082209093496
RandomForestRegressor,F1,validation,47.65940830735639,70.54876408354227,9.914098917040974
Ridge,F0,validation,155.20588381032908,189.70101093104907,0.0021353340707719326
Ridge,F1,validation,137.50630085271865,174.2190789971178,0.002233915962278843
