model,feature_set,split,MAE,RMSE,training_time_seconds
Ridge,F0,validation,155.4422227115486,190.00196211173127,0.000855
Ridge,F1,validation,138.18857238141985,175.142181711859,0.000682
RandomForest,F0,validation,50.833650694444444,78.04735365172712,2.040793
RandomForest,F1,validation,52.26602405303029,79.74023962137191,2.580286
GradientBoosting,F0,validation,78.70235492408554,104.81588821914164,0.597644
GradientBoosting,F1,validation,74.89364060477368,97.62870382656627,0.785995
MLP,F0,validation,102.13569843220806,140.0467184229813,18.3994
MLP,F1,validation,71.67496652664485,104.08700860368909,11.711842
