model,feature_set,split,MAE,RMSE,training_time_seconds
Ridge,F0,validation,153.59295044618997,190.1522284331555,0.001772165298461914
Ridge,F1,validation,136.95224092784065,173.9272704244029,0.0010039806365966797
RandomForest,F0,validation,47.81963171509107,73.50733170724308,3.712116003036499
RandomForest,F1,validation,48.64474909488099,74.19165935143438,4.664804935455322
GradientBoosting,F0,validation,50.23819508202855,74.46757644766863,4.774940729141235
GradientBoosting,F1,validation,48.46929697458049,71.0576289324704,5.365680932998657
MLP,F0,validation,70.19884811446107,93.23727131406719,34.43833804130554
MLP,F1,validation,58.67789034827473,86.8590385552136,42.84573578834534
